"赞\[\d+\]","匹配 赞[]"
"转发\[\d+\]","匹配 转发[]"
"收藏\[\d+\]","匹配 收藏[]"
"评论\[\d+\]","匹配 评论[]"
"\[超话\]","匹配：[超话]"
"收藏\d+月\d+日 \d+:\d+\s?","匹配： 收藏09月11日 18:57 "
"#[^\s:：，,。@#]+? {0,3}· {0,3}[^\s:：，,。@#]+?\[地点\]#","匹配地点： #南京·大行宫[地点]#"
"\s+?[^\s:：，,。@#]+? {0,3}· {0,3}[^\s:：，,。@#]+?(\s+|$)","匹配微博末尾的 地点"
"@[^\s:：，,。@]{1,20}","匹配 @某某人"
"\d{1,2}([:：]|点|分)\d{1,2}(分|秒){0,1}","匹配 几比几或者 几点几分，几时几秒"
"\d+\.\d+w{0,1}万{0,1}","匹配 小数"
"\d+(\.\d+){0,1}%","匹配 百分数"
"(详见){0,1}\.{1,6}(展开){0,1}全文c{0,1}","匹配 详见...展开全文c"
"(amp|;quot|;gt|;lt)","匹配 html special chars"
"(https?|ftp|file)://[-A-Za-z0-9+&@#/%?=~_|!:,.;]+[-A-Za-z0-9+&@#/%=~_|]","匹配 url"
"[\w!#$%&'*+/=?^_`{|}~-]+(?:\.[\w!#$%&'*+/=?^_`{|}~-]+)*@(?:[\w](?:[\w-]*[\w])?\.)+[\w](?:[\w-]*[\w])?","匹配 email"
